timestamp,aruco_id,x,y,z,yaw
2026-02-21 22:03:36.193,33,-0.081965,0.071791,0.511225,-0.099801
2026-02-21 22:03:36.229,33,-0.074228,0.059316,0.523532,-0.075444
2026-02-21 22:03:36.261,33,-0.065735,0.047945,0.529546,-0.045721
2026-02-21 22:03:36.293,33,-0.059279,0.041329,0.536409,-0.060928
2026-02-21 22:03:36.329,33,-0.050917,0.033869,0.529609,-0.034082
2026-02-21 22:03:36.361,33,-0.046388,0.029850,0.526727,-0.032967
2026-02-21 22:03:36.393,33,-0.041657,0.027862,0.528877,-0.017163
2026-02-21 22:03:36.429,33,-0.038767,0.025761,0.523554,-0.008973
2026-02-21 22:03:36.461,33,-0.036277,0.026584,0.527107,-0.022054
2026-02-21 22:03:36.493,33,-0.033856,0.026648,0.523562,-0.026165
2026-02-21 22:03:36.529,33,-0.032894,0.027577,0.527893,-0.014503
2026-02-21 22:03:36.561,33,-0.031941,0.028039,0.523769,-0.016830
2026-02-21 22:03:36.593,33,-0.031253,0.029345,0.533844,-0.017661
2026-02-21 22:03:36.629,33,-0.031935,0.030117,0.535708,-0.016049
2026-02-21 22:03:36.661,33,-0.030301,0.032194,0.535415,0.007886
2026-02-21 22:03:36.693,42,-0.030536,0.031119,0.540884,-0.042971
2026-02-21 22:03:36.729,33,-0.029485,0.030998,0.522341,-0.004387
2026-02-21 22:03:36.761,33,-0.028764,0.030341,0.514068,-0.001542
2026-02-21 22:03:36.793,33,-0.028494,0.030740,0.514178,0.002906
2026-02-21 22:03:36.829,33,-0.027948,0.031445,0.521110,-0.003293
2026-02-21 22:03:36.861,33,-0.027551,0.031419,0.519745,-0.001216
2026-02-21 22:03:36.893,33,-0.027510,0.031231,0.513714,0.005077
2026-02-21 22:03:36.929,33,-0.028335,0.031632,0.521299,0.001534
2026-02-21 22:03:36.961,33,-0.027246,0.031838,0.522254,0.010739
2026-02-21 22:03:36.993,33,-0.026587,0.031385,0.516547,0.023283
2026-02-21 22:03:37.029,33,-0.026731,0.031265,0.522385,0.014429
2026-02-21 22:03:37.061,33,-0.025507,0.031430,0.524263,0.024331
2026-02-21 22:03:37.093,33,-0.024515,0.030785,0.528096,0.039701
2026-02-21 22:03:37.129,33,-0.022249,0.031283,0.523450,0.051187
2026-02-21 22:03:37.161,33,-0.020735,0.031427,0.522876,0.068627
2026-02-21 22:03:37.193,33,-0.016668,0.031759,0.522513,0.104903
2026-02-21 22:03:37.229,33,-0.013028,0.032343,0.530054,0.128602
2026-02-21 22:03:37.261,33,-0.007878,0.031833,0.520443,0.168304
2026-02-21 22:03:37.293,33,-0.003441,0.033424,0.538270,0.197535
2026-02-21 22:03:37.329,33,0.001598,0.033971,0.538891,0.213546
2026-02-21 22:03:37.829,33,-0.001078,0.028863,0.519956,-0.078367
2026-02-21 22:03:37.861,33,-0.004547,0.030241,0.508278,-0.111570
2026-02-21 22:03:37.893,33,-0.008832,0.031449,0.504227,-0.159846
2026-02-21 22:03:37.929,33,-0.010739,0.031988,0.507477,-0.190919
2026-02-21 22:03:37.961,42,-0.014207,0.035066,0.530612,-0.244112
2026-02-21 22:03:37.993,42,-0.015876,0.036744,0.530752,-0.244813
2026-02-21 22:03:38.029,33,-0.015722,0.035808,0.509948,-0.277249
2026-02-21 22:03:39.461,33,-0.003447,0.020244,0.515316,-0.006639
2026-02-21 22:03:39.497,33,-0.012461,0.017920,0.521954,-0.018026
2026-02-21 22:03:39.529,33,-0.021685,0.018219,0.518738,-0.021613
2026-02-21 22:03:39.561,33,-0.029389,0.018277,0.518233,-0.033302
2026-02-21 22:03:39.597,33,-0.039386,0.019928,0.528797,-0.040608
2026-02-21 22:03:39.629,33,-0.045586,0.019424,0.520625,-0.043093
2026-02-21 22:03:39.661,33,-0.053542,0.019797,0.519090,-0.047705
2026-02-21 22:03:39.697,33,-0.060325,0.020923,0.521481,-0.051901
2026-02-21 22:03:39.729,33,-0.067656,0.021473,0.524846,-0.046058
2026-02-21 22:03:39.761,33,-0.072486,0.021823,0.521965,-0.064190
2026-02-21 22:03:39.797,33,-0.078637,0.022184,0.520666,-0.058100
2026-02-21 22:03:39.829,33,-0.083083,0.022345,0.520584,-0.057403
2026-02-21 22:03:39.861,33,-0.087718,0.022572,0.522754,-0.059427
2026-02-21 22:03:39.897,33,-0.091096,0.022424,0.520138,-0.076971
2026-02-21 22:03:39.929,33,-0.094754,0.023179,0.521696,-0.084547
2026-02-21 22:03:39.961,33,-0.097202,0.022721,0.517978,-0.082246
2026-02-21 22:03:39.997,33,-0.100037,0.022615,0.517463,-0.084509
2026-02-21 22:03:40.029,33,-0.104750,0.024361,0.524000,-0.058775
2026-02-21 22:03:40.061,33,-0.105522,0.024369,0.523106,-0.079075
2026-02-21 22:03:40.097,42,-0.118868,0.027301,0.579973,-0.114309
2026-02-21 22:03:40.129,42,-0.116221,0.027153,0.567018,-0.063398
2026-02-21 22:03:40.161,33,-0.106642,0.026034,0.528751,-0.086233
2026-02-21 22:03:40.197,33,-0.102903,0.025243,0.524448,-0.074535
2026-02-21 22:03:40.229,33,-0.099362,0.024946,0.525856,-0.065710
2026-02-21 22:03:40.261,33,-0.092377,0.023931,0.524829,-0.085273
2026-02-21 22:03:40.297,33,-0.086032,0.023745,0.524815,-0.076381
2026-02-21 22:03:40.329,33,-0.079587,0.022733,0.523895,-0.066999
2026-02-21 22:03:40.361,33,-0.072192,0.022378,0.520894,-0.069263
2026-02-21 22:03:40.397,33,-0.066423,0.021501,0.521275,-0.061067
2026-02-21 22:03:40.429,33,-0.061652,0.022328,0.518990,-0.046495
2026-02-21 22:03:40.461,33,-0.057570,0.021066,0.519308,-0.050695
2026-02-21 22:03:40.497,42,-0.061022,0.021707,0.563666,-0.064784
2026-02-21 22:03:40.529,33,-0.056756,0.020795,0.517373,-0.049719
2026-02-21 22:03:40.561,33,-0.058365,0.020807,0.517459,-0.049789
2026-02-21 22:03:40.597,33,-0.061271,0.020956,0.517040,-0.035507
2026-02-21 22:03:40.629,33,-0.064194,0.021719,0.517834,-0.034680
2026-02-21 22:03:40.661,33,-0.064016,0.021660,0.518100,-0.037906
2026-02-21 22:03:40.697,42,-0.068013,0.023149,0.567050,-0.106084
2026-02-21 22:03:40.729,33,-0.058061,0.021488,0.519939,-0.020021
2026-02-21 22:03:40.761,33,-0.052647,0.020643,0.520411,-0.039340
2026-02-21 22:03:40.797,33,-0.048075,0.020728,0.518593,-0.033598
2026-02-21 22:03:40.829,33,-0.044994,0.020630,0.515368,-0.048448
2026-02-21 22:03:40.861,33,-0.046072,0.020518,0.513732,-0.046158
2026-02-21 22:03:40.897,33,-0.049813,0.020572,0.510560,-0.052644
2026-02-21 22:03:40.929,33,-0.055333,0.021429,0.505965,-0.061084
2026-02-21 22:03:40.997,33,-0.075162,0.026546,0.514961,-0.069310
