timestamp,aruco_id,x,y,z,roll,pitch,yaw
2026-02-23 16:27:00.846,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:00.883,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:00.923,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:00.963,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.008,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.044,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.084,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.124,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.260,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.360,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.365,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.405,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.445,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.486,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.525,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.566,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.606,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.646,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.686,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.726,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.767,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.807,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.847,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.887,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.928,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:01.968,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.009,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.049,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.089,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.130,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.169,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.209,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.250,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.291,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.329,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.370,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.409,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.452,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.490,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.532,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.571,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.612,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.651,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.691,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.731,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.773,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.812,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.853,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.893,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.935,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:02.973,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.013,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.053,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.093,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.134,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.174,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.216,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.254,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.295,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.335,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.375,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.416,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.457,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.497,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.537,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.617,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.657,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.698,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.738,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.779,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.818,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.859,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.900,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.939,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:03.980,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.020,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.062,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.100,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.141,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.181,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.221,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.261,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.302,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.344,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.383,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.424,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.463,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.503,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.544,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.583,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.624,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.663,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
2026-02-23 16:27:04.704,42,-0.000513,-0.000114,0.042312,-3.139661,0.024809,0.002377
