file	status	off	eval	fresh_ratio	max_stale_s	rmse_xy	p95_xy	cmd_jitter_xy	cmd_jitter_yaw	rmse_x	rmse_y	rmse_z	rmse_yaw	p95_abs_x	p95_abs_y	p95_abs_z	p95_abs_yaw	kp_x	ki_x	kd_x	kp_y	ki_y	kd_y	kp_yaw	ki_yaw	kd_yaw	kp_z	ki_z	kd_z	velocity_deadband	yaw_rate_deadband
pid_tuning_summary.csv	insufficient_data	0	0	nan	0.0	nan	nan	nan	nan									0.6	0.02	0.02	0.6	0.02	0.02	0.6	0.02	0.03	0.6	0.0	0.03	0.03	0.03
pid_tuning_xy_fine_20260314_201539.csv	insufficient_data	0	0	nan	0.0	nan	nan	nan	nan									0.85	0.0	0.05	0.85	0.0	0.05	0.9	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_093036.csv	insufficient_data	0	0	nan	0.0	nan	nan	nan	nan									0.85	0.0	0.05	0.85	0.0	0.05	0.9	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_093947.csv	ok	1554	1554	1.0	0.0	0.32585191503832733	0.675918744082228	0.04309441666801465	0.027041476086471776	0.2171672160121429	0.2429359397530136	0.07288667251977123	0.1289240485044979	0.49834246152100947	0.5428106601710333	0.12100672593331077	0.12929281008189203	0.85	0.0	0.05	0.85	0.0	0.05	0.9	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_094937.csv	ok	1410	1410	1.0	0.0	0.17984053577871242	0.29528786587936806	0.028092711217568452	0.03058444719640907	0.12950891108101703	0.12478004752276534	0.09545416255448802	0.16041625111131966	0.2732070834503209	0.23708957758473517	0.21274762089050397	0.1572095757955958	0.85	0.0	0.05	0.85	0.0	0.05	0.6	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_095148.csv	ok	1620	1500	0.9259259259259259	4.444743616482297	0.1886856916260941	0.38259606956990583	0.028434411492331557	0.02865586511865708	0.1338682991011406	0.1329720599230719	0.0852134797349302	0.08781515687677777	0.29645201525710196	0.257883561317809	0.1690966521832564	0.1136716313198414	0.85	0.0	0.05	0.85	0.0	0.05	0.6	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_095446.csv	ok	1350	1328	0.9837037037037037	0.49999331968461613	0.36870794819645847	0.8591675476462097	0.05978623455874347	0.041127470799220994	0.21159322203811812	0.3019500943049531	0.1016234205200666	0.5234903027510523	0.531770392072938	0.7286565123673852	0.131959601271618	1.2119379411759084	0.85	0.0	0.05	0.85	0.0	0.05	0.4	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_095709.csv	ok	1530	1530	1.0	0.0	0.22474079609230996	0.4190628209166938	0.031323291236786406	0.03767988319349838	0.1688882779961276	0.14827398620023577	0.13982708108700995	0.23828940050301597	0.28145118060837604	0.34509919922443955	0.14184080731567106	0.4404901424145943	0.6	0.0	0.05	0.6	0.0	0.05	0.4	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_095948.csv	insufficient_data	0	0	nan	0.0	nan	nan	nan	nan									0.6	0.0	0.05	0.6	0.0	0.05	0.6	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_100024.csv	insufficient_data	0	0	nan	0.0	nan	nan	nan	nan									0.6	0.0	0.05	0.6	0.0	0.05	0.6	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_100122.csv	ok	900	900	1.0	0.0	0.24218957564277582	0.4796192887258709	0.0429403639627011	0.0934325461101691	0.17582153565267544	0.16656103431103794	0.054000901637002115	0.25440823171191107	0.381039714965676	0.2894376412823362	0.10747453125065443	0.5662511883255692	0.6	0.0	0.05	0.6	0.0	0.05	0.6	0.0	0.05	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_100354.csv	ok	1409	1409	1.0	0.0	0.19449594035658485	0.3019418432312744	0.015998824329347322	0.03293540873034533	0.12389965036013452	0.14992513950578357	0.09543896849640092	0.18292564085737348	0.24548840789720988	0.2761385832145179	0.12330324497725167	0.2017713688497475	0.6	0.0	0.03	0.6	0.0	0.03	0.6	0.0	0.03	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_100637.csv	ok	599	560	0.9348914858096828	0.9000213708367236	0.5072902835778598	0.7272078076825506	0.08485795974716413	0.10236907043039917	0.34325781687223716	0.37352041840923617	0.0694865604182862	0.29505005952572677	0.627142812985443	0.6369449586422635	0.11723712933441562	0.9158947585009666	0.6	0.1	0.03	0.6	0.1	0.03	0.6	0.0	0.03	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_100838.csv	ok	1378	1378	1.0	0.0	0.14953912966808808	0.2709204858135778	0.01862157491141622	0.06767116124293995	0.06726610304753937	0.13355606569035744	0.1290969202024783	0.07707925117027255	0.1278924144023203	0.2665613001494699	0.11305228378255004	0.09662917563267077	0.6	0.02	0.03	0.6	0.02	0.03	0.6	0.0	0.03	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_101056.csv	ok	1740	1740	1.0	0.0	0.3128019383055364	0.4850599373110462	0.036260421177024986	0.06705424273540733	0.21729256661504578	0.22500887338402117	0.06107882171641091	0.3105162090649923	0.425313251286252	0.4279151435412734	0.12233515775528693	0.18486852977948268	0.6	0.02	0.03	0.6	0.02	0.03	0.6	0.0	0.03	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_101340.csv	ok	1620	1620	1.0	0.0	0.1989054934703495	0.3384348427472908	0.02642742147948674	0.09178810285418498	0.1501135361220869	0.130496442884878	0.11921706641440913	0.36509662785804237	0.30727738430661766	0.24773709007775607	0.13274303506692103	0.41128533397367095	0.6	0.02	0.03	0.6	0.02	0.03	0.6	0.02	0.03	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_101618.csv	ok	1351	1351	1.0	0.0	0.22552154951501924	0.48138797337584704	0.02254663955340353	0.09910702652127942	0.16205306797427263	0.15683995809672022	0.07800362963520467	0.1511799732946165	0.35894383561586557	0.3617763991613967	0.12966428540143804	0.14823932075209534	0.6	0.02	0.01	0.6	0.02	0.01	0.6	0.02	0.03	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_101843.csv	ok	1200	1200	1.0	0.0	0.19373896878150662	0.3773456865548139	0.013065417059169363	0.07849479670413034	0.12237516702391421	0.1501968925124307	0.26440933605617933	0.30523535612521674	0.23397752900102906	0.3340207626072718	0.6240525990104395	0.4771640499899642	0.6	0.02	0.02	0.6	0.02	0.02	0.6	0.02	0.03	0.8	0.0	0.06	0.03	0.03
pid_tuning_xy_fine_20260315_102130.csv	ok	1230	1230	1.0	0.0	0.16054600954528014	0.32588232967903286	0.037023573243028296	0.07166601175036279	0.10063668845980929	0.1250890807255233	0.15141910271066328	0.31366027942098645	0.21081948693494573	0.29621884585703345	0.15170876915312625	0.4765729776677094	0.6	0.02	0.02	0.6	0.02	0.02	0.6	0.02	0.03	0.6	0.0	0.03	0.03	0.03
